KM,Link,Detalhe_Combustivel,Detalhe_Cor,Situação,Detalhe_Localizacao,UF,Detalhe_KM_Veiculo,Detalhe_Valor_Mercado,Detalhe_Ano_Veiculo,Detalhe_Possui_Chave,Valor do Lance,Detalhe_Tipo_Retomada,Detalhe_Tipo_Veiculo,Data Leilão,Imagem,Ano,Título
141.221 km,https://leilo.com.br/leilao/sao-jose-dos-pinhais-parana/carros/chevrolet/celta-lt-1.0l-(2p%2F4p)/ano.2012/cb7c8451-cea3-11ef-8e48-02420a000017,,N/A,Leilão ao vivo em: 3 dias 18h14m49s,N/A,PR,,N/A,,N/A,"R$ 15.900,00",N/A,N/A,23/06/2025,https://leilo.cdndp.com.br/v1/arquivo/2025/6/18/1750279154584_92cb49b0-40e8-40a9-8780-b13fdf67c882_pequena_leilo.webp,2012,CHEVROLET/CELTA LT 1.0L (2P/4P)
56.265 km,https://leilo.com.br/leilao/sao-carlos-sao-paulo/carros/chevrolet/onix-10mt-hb/ano.2023/7f101a39-1540-11f0-b6cf-02420a00009e,,N/A,Leilão ao vivo em: 3 dias 18h15m18s,N/A,SP,,N/A,,N/A,"R$ 42.500,00",N/A,N/A,23/06/2025,https://leilo.cdndp.com.br/v1/arquivo/2025/6/18/1750279030264_0df9d4a6-5f2d-43f1-99ad-1aa94fe05c94_pequena_leilo.webp,2022,CHEVROLET/ONIX 10MT HB
129.114 km,https://leilo.com.br/leilao/sao-carlos-sao-paulo/carros/volkswagen/novo-gol-trendline-mcv-(4p%2F2p)/ano.2017/76aa783d-16db-11f0-b6cf-02420a00009e,,N/A,Leilão ao vivo em: 3 dias 18h15m44s,N/A,SP,,N/A,,N/A,"R$ 23.400,00",N/A,N/A,23/06/2025,https://leilo.cdndp.com.br/v1/arquivo/2025/6/18/1750279175990_7676cb9a-42f6-464e-b1ce-7760f543e73c_pequena_leilo.webp,2017,VOLKSWAGEN/NOVO GOL TRENDLINE MCV (4P/2P)
119.982 km,https://leilo.com.br/leilao/sao-carlos-sao-paulo/carros/chevrolet/onix-lt-1.4-mecanico-(4p)/ano.2018/a2d9e800-2213-11f0-bcc9-02420a000216,,N/A,Leilão ao vivo em: 3 dias 18h16m9s,N/A,SP,,N/A,,N/A,"R$ 31.900,00",N/A,N/A,23/06/2025,https://leilo.cdndp.com.br/v1/arquivo/2025/6/18/1750279577004_f15a2335-2471-4dca-9cb1-8b47e69b3f3a_pequena_leilo.webp,2018,CHEVROLET/ONIX LT 1.4 MECANICO (4P)
233.455 km,https://leilo.com.br/leilao/sao-carlos-sao-paulo/carros/chevrolet/tracker-turbo-ltz/ano.2023/5c34a9bf-f5f2-11ef-bd15-02420a00000b,,N/A,Leilão ao vivo em: 3 dias 18h16m38s,N/A,SP,,N/A,,N/A,"R$ 60.500,00",N/A,N/A,23/06/2025,https://leilo.cdndp.com.br/v1/arquivo/2025/6/18/1750279525635_8d62e5ea-e479-4e7e-9391-3f0ccb747944_pequena_leilo.webp,2022,CHEVROLET/TRACKER TURBO LTZ
60.197 km,https://leilo.com.br/leilao/aparecida-de-goiania-goias/carros/hyundai/hb20-vision/ano.2022/5d58497a-d670-11ee-843f-02420a00007b,,N/A,Leilão ao vivo em: 4 dias 13h32m38s,N/A,GO,,N/A,,N/A,"R$ 34.700,00",N/A,N/A,24/06/2025,https://leilo.com.br/lote/fotos-modelo/carro.jpg,2021,HYUNDAI/HB20 VISION
76.616 km,https://leilo.com.br/leilao/aparecida-de-goiania-goias/carros/chevrolet/onix-joye-1.0-mecanico-(4p)/ano.2018/26c7094b-6c7a-11ef-b67f-02420a000065,,N/A,Leilão ao vivo em: 4 dias 13h33m7s,N/A,GO,,N/A,,N/A,"R$ 25.800,00",N/A,N/A,24/06/2025,https://leilo.com.br/lote/fotos-modelo/carro.jpg,2017,CHEVROLET/ONIX JOYE 1.0 MECANICO (4P)
155.121 km,https://leilo.com.br/leilao/aparecida-de-goiania-goias/carros/chevrolet/s10-ltz-fd4a-cabine-dupla/ano.2019/f8c0ef4d-0e31-11ef-b80e-02420a000059,,N/A,Leilão ao vivo em: 4 dias 13h33m37s,N/A,GO,,N/A,,N/A,"R$ 79.300,00",N/A,N/A,24/06/2025,https://leilo.com.br/lote/fotos-modelo/carro.jpg,2018,CHEVROLET/S10 LTZ FD4A CABINE DUPLA
13.383 km,https://leilo.com.br/leilao/aparecida-de-goiania-goias/carros/nissan/kicks-advance-(4p)/ano.2024/2984893e-3fd3-11f0-b593-02420a000005,,N/A,Leilão ao vivo em: 4 dias 13h34m6s,N/A,GO,,N/A,,N/A,"R$ 66.500,00",N/A,N/A,24/06/2025,https://leilo.cdndp.com.br/v1/arquivo/2025/6/18/1750267749511_81114bb4-6eaf-4086-9080-f832056024d3_pequena_leilo.webp,2024,NISSAN/KICKS ADVANCE (4P)
18.269 km,https://leilo.com.br/leilao/aparecida-de-goiania-goias/carros/renault/kwid-intense-2-(4p)/ano.2023/0498cc07-e227-11ef-903d-02420a000042,,N/A,Leilão ao vivo em: 4 dias 13h34m35s,N/A,GO,,N/A,,N/A,"R$ 31.000,00",N/A,N/A,24/06/2025,https://leilo.cdndp.com.br/v1/arquivo/2025/6/18/1750267870617_c9943cbd-d2d6-430d-8670-e894bb96006a_pequena_leilo.webp,2022,RENAULT/KWID INTENSE 2 (4P)
162.141 km,https://leilo.com.br/leilao/aparecida-de-goiania-goias/carros/fiat/strada-hard-working-cabine-simples-cc-e/ano.2017/7c3efa27-10b0-11f0-8c72-02420a00002d,,N/A,Leilão ao vivo em: 4 dias 13h34m51s,N/A,GO,,N/A,,N/A,"R$ 31.100,00",N/A,N/A,24/06/2025,https://leilo.cdndp.com.br/v1/arquivo/2025/6/18/1750269424279_14b66fdf-02d0-4982-ba8c-fa3cb7a391b2_pequena_leilo.webp,2017,FIAT/STRADA HARD WORKING CABINE SIMPLES CC E
69.187 km,https://leilo.com.br/leilao/aparecida-de-goiania-goias/carros/renault/sandero-stepway-zen/ano.2023/1b4b3fce-e316-11ef-903d-02420a000042,,N/A,Leilão ao vivo em: 4 dias 13h35m20s,N/A,GO,,N/A,,N/A,"R$ 37.300,00",N/A,N/A,24/06/2025,https://leilo.cdndp.com.br/v1/arquivo/2025/6/18/1750267779301_8e31504d-5b76-47d8-8c9e-770b7b2e3ca9_pequena_leilo.webp,2022,RENAULT/SANDERO STEPWAY ZEN
43.836 km,https://leilo.com.br/leilao/aparecida-de-goiania-goias/carros/toyota/hilux-cd-srx-a-4fd/ano.2021/b87b701e-3b24-11f0-b593-02420a000005,,N/A,Leilão ao vivo em: 4 dias 13h35m50s,N/A,GO,,N/A,,N/A,"R$ 153.300,00",N/A,N/A,24/06/2025,https://leilo.cdndp.com.br/v1/arquivo/2025/6/18/1750267788809_38dd64e9-58b5-4f3d-ba29-5b7e043e1091_pequena_leilo.webp,2021,TOYOTA/HILUX CD SRX A 4FD
218.624 km,https://leilo.com.br/leilao/aparecida-de-goiania-goias/carros/volkswagen/gol-1.0-(2p%2F4p)/ano.2010/e454abe9-707a-11ef-9f48-02420a0000f9,,N/A,Leilão ao vivo em: 4 dias 13h36m19s,N/A,GO,,N/A,,N/A,"R$ 13.200,00",N/A,N/A,24/06/2025,https://leilo.cdndp.com.br/v1/arquivo/2025/6/18/1750274685612_b7a1080e-98f1-4b31-af8c-f34c887b539d_pequena_leilo.webp,2009,VOLKSWAGEN/GOL 1.0 (2P/4P)
272.279 km,https://leilo.com.br/leilao/aparecida-de-goiania-goias/carros/volkswagen/novo-gol-trendline-mbv-(4p%2F2p)/ano.2017/3630d0eb-7f4f-11ef-a1ff-02420a0000dd,,N/A,Leilão ao vivo em: 4 dias 13h37m19s,N/A,GO,,N/A,,N/A,"R$ 24.100,00",N/A,N/A,24/06/2025,https://leilo.cdndp.com.br/v1/arquivo/2025/6/18/1750269384308_4f3f0358-0625-4885-b8e5-d4b86f1610dd_pequena_leilo.webp,2016,VOLKSWAGEN/NOVO GOL TRENDLINE MBV (4P/2P)
117.599 km,https://leilo.com.br/leilao/taguatinga-distrito-federal/carros/hyundai/hb20s-premium-(4p)/ano.2018/dd0a0207-4aa2-11f0-b593-02420a000005,,N/A,Leilão ao vivo em: 4 dias 13h38m48s,N/A,DF,,N/A,,N/A,"R$ 37.900,00",N/A,N/A,24/06/2025,https://leilo.cdndp.com.br/v1/arquivo/2025/6/18/1750275597311_badff89b-aece-4291-9b14-0ca8b524e62a_pequena_leilo.webp,2017,HYUNDAI/HB20S PREMIUM (4P)
102.737 km,https://leilo.com.br/leilao/aparecida-de-goiania-goias/carros/chevrolet/onix-joye-(4p)/ano.2018/d89a2658-a1f7-11ef-9088-02420a0000e0,,N/A,Leilão ao vivo em: 4 dias 13h39m17s,N/A,GO,,N/A,,N/A,"R$ 25.700,00",N/A,N/A,24/06/2025,https://leilo.cdndp.com.br/v1/arquivo/2025/6/18/1750269309278_8d35c1cd-35bc-49a0-85a9-2ca0286b7dc2_pequena_leilo.webp,2018,CHEVROLET/ONIX JOYE (4P)
114.030 km,https://leilo.com.br/leilao/aparecida-de-goiania-goias/carros/volkswagen/gol-mb5-(4p%2F2p)/ano.2020/4ecae919-ab51-11ef-8e48-02420a000017,,N/A,Leilão ao vivo em: 4 dias 13h39m44s,N/A,GO,,N/A,,N/A,"R$ 28.000,00",N/A,N/A,24/06/2025,https://leilo.cdndp.com.br/v1/arquivo/2025/6/18/1750269305738_71d990ca-730d-4c4b-b821-54cb089506c3_pequena_leilo.webp,2019,VOLKSWAGEN/GOL MB5 (4P/2P)
120.582 km,https://leilo.com.br/leilao/aparecida-de-goiania-goias/carros/land-rover/evoque-pure-p5d/ano.2013/07615c69-3d28-11ef-9bb1-02420a00002f,,N/A,Leilão ao vivo em: 4 dias 13h41m12s,N/A,GO,,N/A,,N/A,"R$ 55.300,00",N/A,N/A,24/06/2025,https://leilo.com.br/lote/fotos-modelo/carro.jpg,2013,LAND ROVER/EVOQUE PURE P5D
161.151 km,https://leilo.com.br/leilao/aparecida-de-goiania-goias/carros/volkswagen/gol-1.0-(2p%2F4p)/ano.2006/a4aa8148-3fae-11ef-9bb1-02420a00002f,,N/A,Leilão: Leilão: 24/06/2025 Ter • 12:30,N/A,GO,,N/A,,N/A,"R$ 7.900,00",N/A,N/A,24/06/2025,https://leilo.com.br/lote/fotos-modelo/carro.jpg,2005,VOLKSWAGEN/GOL 1.0 (2P/4P)
