Detalhe_Tipo_Veiculo,Detalhe_Tipo_Retomada,Link,Ano,Data Leilao,Detalhe_Combustivel,Detalhe_Valor_Mercado,Detalhe_Localizacao,KM,Imagem,Valor do Lance,Situação,Título,Detalhe_Ano_Veiculo,Detalhe_Cor,UF,Detalhe_Possui_Chave,Detalhe_KM_Veiculo
Carros,Recuperado de Financiamento,https://leilo.com.br/leilao/eusebio-ceara/carros/chevrolet/classic-ls-(2p%2F4p)/ano.2015/e8f0d8e7-b65d-11ef-8e48-02420a000017,2014,25/06/2025,Flex,"31.905,00",PATIO 2 - FORTALEZA/CE (EUSÉBIO/CE),208.170 km,https://leilo.cdndp.com.br/v1/arquivo/2025/6/20/1750448634882_d8242f0c-e082-4917-adf2-3c0238dd21be_pequena_leilo.webp,"R$ 17.000,00",Leilão ao vivo em: 14h57m34s,CHEVROLET/CLASSIC LS (2P/4P),2014,Prata,CE,Sim,208.170
Carros,Recuperado de Financiamento,https://leilo.com.br/leilao/eusebio-ceara/carros/jeep/grand-cherokee-limited/ano.2015/3963b642-2c3e-11f0-9f79-02420a000005,2015,25/06/2025,Gasolina,"97.312,00",PATIO 2 - FORTALEZA/CE (EUSÉBIO/CE),N/A,https://leilo.cdndp.com.br/v1/arquivo/2025/6/20/1750448583817_cd840c92-8558-4c9e-8194-e2971c018ce5_pequena_leilo.webp,"R$ 53.600,00",Leilão ao vivo em: 14h58m3s,JEEP/GRAND CHEROKEE LIMITED,2015,Preta,CE,Não,N/A
Carros,Recuperado de Financiamento,https://leilo.com.br/leilao/eusebio-ceara/carros/fiat/idea-attractive/ano.2015/051c05da-2f74-11f0-9f79-02420a000005,2015,25/06/2025,Flex,"39.609,00",PATIO 2 - FORTALEZA/CE (EUSÉBIO/CE),215.541 km,https://leilo.cdndp.com.br/v1/arquivo/2025/6/20/1750424036732_4dc484a3-207d-4f70-9b44-b9276d51bae5_pequena_leilo.webp,"R$ 21.800,00",Leilão ao vivo em: 14h58m32s,FIAT/IDEA ATTRACTIVE,2015,Prata,CE,Não,215.541
N/A,N/A,https://leilo.com.br/leilao/eusebio-ceara/carros/volkswagen/gol-1.0-(2p%2F4p)/ano.2010/352d214a-40b7-11f0-b593-02420a000005,2009,25/06/2025,N/A,N/A,N/A,115.584 km,https://leilo.cdndp.com.br/v1/arquivo/2025/6/20/1750424019874_5ce966a2-0710-48c9-aa48-14774f873028_pequena_leilo.webp,"R$ 13.400,00",Leilão ao vivo em: 14h59m1s,VOLKSWAGEN/GOL 1.0 (2P/4P),N/A,N/A,CE,N/A,N/A
Carros,Recuperado de Financiamento,https://leilo.com.br/leilao/eusebio-ceara/carros/jeep/grand-cherokee-limited/ano.2014/e71d98e6-c155-11ef-8e48-02420a000017,2014,25/06/2025,Gasolina,"92.929,00",PATIO 2 - FORTALEZA/CE (EUSÉBIO/CE),87.907 km,https://leilo.cdndp.com.br/v1/arquivo/2025/6/20/1750448806378_63d5c4c4-dcab-443a-954b-83404f44c07d_pequena_leilo.webp,"R$ 50.500,00",Leilão ao vivo em: 14h59m29s,JEEP/GRAND CHEROKEE LIMITED,2014,Branca,CE,Sim,87.907
Carros,Recuperado de Financiamento,https://leilo.com.br/leilao/eusebio-ceara/carros/chevrolet/corsa-hatch-maxx-(2p%2F4p)/ano.2012/36d64a55-2f68-11f0-9f79-02420a000005,2012,25/06/2025,Flex,"30.848,00",PATIO 2 - FORTALEZA/CE (EUSÉBIO/CE),187.388 km,https://leilo.cdndp.com.br/v1/arquivo/2025/6/20/1750448930125_6870b2d5-58f1-483d-a7b0-6aad8fdc161d_pequena_leilo.webp,"R$ 17.000,00",Leilão ao vivo em: 14h59m57s,CHEVROLET/CORSA HATCH MAXX (2P/4P),2012,Prata,CE,Sim,187.388
Carros,Recuperado de Financiamento,https://leilo.com.br/leilao/eusebio-ceara/carros/chevrolet/prisma-lt-(4p)/ano.2014/07da2074-0022-11f0-8c72-02420a00002d,2013,25/06/2025,Flex,"41.859,00",PATIO 2 - FORTALEZA/CE (EUSÉBIO/CE),122.142 km,https://leilo.cdndp.com.br/v1/arquivo/2025/6/20/1750448922054_b378cb82-e6a2-4709-8693-50a9bb58134f_pequena_leilo.webp,"R$ 22.700,00",Leilão ao vivo em: 15h26s,CHEVROLET/PRISMA LT (4P),2013,Prata,CE,Sim,122.142
Carros,Recuperado de Financiamento,https://leilo.com.br/leilao/eusebio-ceara/carros/peugeot/208-active-(4p)/ano.2014/a710c9e2-0a39-11f0-8c72-02420a00002d,2014,25/06/2025,Flex,"37.016,00",PATIO 2 - FORTALEZA/CE (EUSÉBIO/CE),98.460 km,https://leilo.cdndp.com.br/v1/arquivo/2025/6/20/1750423997445_254b561d-6ecf-4a78-8b79-26bf0861b1c5_pequena_leilo.webp,"R$ 20.400,00",Leilão ao vivo em: 15h1m25s,PEUGEOT/208 ACTIVE (4P),2014,Branca,CE,Sim,98.460
Carros,Recuperado de Financiamento,https://leilo.com.br/leilao/eusebio-ceara/carros/nissan/march-s-flex-(4p)/ano.2014/5f43d766-0b13-11f0-8c72-02420a00002d,2013,25/06/2025,Flex,"35.058,00",PATIO 2 - FORTALEZA/CE (EUSÉBIO/CE),190.904 km,https://leilo.cdndp.com.br/v1/arquivo/2025/6/20/1750423975963_b96d4ab8-58fe-462c-b5f1-332d473384dc_pequena_leilo.webp,"R$ 19.200,00",Leilão ao vivo em: 15h1m55s,NISSAN/MARCH S FLEX (4P),2013,Cinza,CE,Sim,190.904
Carros,Recuperado de Financiamento,https://leilo.com.br/leilao/eusebio-ceara/carros/fiat/strada-adventure-cabine-dupla/ano.2014/302beae2-2501-11f0-bcc9-02420a000216,2014,25/06/2025,Flex,"52.202,00",PATIO 2 - FORTALEZA/CE (EUSÉBIO/CE),N/A,https://leilo.cdndp.com.br/v1/arquivo/2025/6/23/1750708003822_3a5844e5-aa58-44c4-9684-88c6620fa1ea_pequena_leilo.webp,"R$ 29.400,00",Leilão ao vivo em: 15h2m25s,FIAT/STRADA ADVENTURE CABINE DUPLA,2014,Verde,CE,Sim,N/A
Carros,Recuperado de Financiamento,https://leilo.com.br/leilao/eusebio-ceara/carros/fiat/punto-(4p)/ano.2010/901f09ba-2dac-11f0-9f79-02420a000005,2010,25/06/2025,Flex,"27.730,00",PATIO 2 - FORTALEZA/CE (EUSÉBIO/CE),99.999.999.999 km,https://leilo.cdndp.com.br/v1/arquivo/2025/6/24/1750767476565_595bb95a-4e84-404b-9778-d006c0acbe24_pequena_leilo.webp,"R$ 14.800,00",Leilão ao vivo em: 15h2m54s,FIAT/PUNTO (4P),2010,Bege,CE,Sim,99.999.999.999
