Ano Modelo,Ano de Fabricacao,Chaves,Combustivel,Condicao do Motor,Data Início,Data Término,Descricao Detalhada,Final da Placa,Imagem,KM,Lance Atual,Lance Inicial,Link,Localizacao Detalhe,Lote Número,Marca,Procedencia,Situação,Tabela FIPE,Total Lances,Título,Valor Mercado,Visualizações
2023,2022,Sim,FLEX,DA PARTIDA,17/06/2025,20/06/2025,"Marca: PEUGEOT
Modelo: 208 
Versão: 208 ACTIVE AT1
KM: 45.137
Ano de Fabricação: 2022
Ano Modelo: 2023
Chaves: Sim
Condição do Motor: DA PARTIDA 
Tabela FIPE R$ 72.967,00
Final da Placa: 4
Combustível: FLEX
Procedência: RECUPERADO DE FINANCIAMENTO",4,https://parquedosleiloesoficial.com/web/fotos/lotes_6_peugeot-208-22-23_parquedosleilao.com_zz595aa9d2b6.JPG,45.137,"R$: 40.500,00","R$: 36.700,00",https://parquedosleiloesoficial.com/lote/PEUGEOT-208-22-23-/6/,N/A,00004,PEUGEOT,RECUPERADO DE FINANCIAMENTO,RECEBENDO LANCES,"72.967,00",20,PEUGEOT 208 22/23,N/A,384
N/A,N/A,N/A,N/A,N/A,02/06/2025,06/06/2025,N/A,N/A,https://parquedosleiloesoficial.com/web/fotos/lotes_641_toyota-corolla-2-0-15-16_parquedosleilao.com_zza3d672eae9.JPG,N/A,"R$: 0,00","R$: 31.900,00",https://parquedosleiloesoficial.com/lote/TOYOTA-COROLLA-2.0-15-16-/641/,N/A,00004,N/A,N/A,NÃO ARREMATADO,N/A,0,TOYOTA COROLLA 2.0 15/16,N/A,19
N/A,N/A,N/A,N/A,N/A,08/06/2025,12/06/2025,N/A,N/A,https://parquedosleiloesoficial.com/web/fotos/lotes_718_volkswagen-nivus-1-0-21-21_parquedosleilao.com_zzc9e1c9e54d.JPG,N/A,"R$: 56.100,00","R$: 53.500,00",https://parquedosleiloesoficial.com/lote/VOLKSWAGEN-NIVUS-1.0-21-21-/718/,N/A,00004,N/A,N/A,ARREMATADO,N/A,14,VOLKSWAGEN NIVUS 1.0 21/21,N/A,466
N/A,N/A,N/A,N/A,N/A,11/06/2025,13/06/2025,N/A,N/A,https://parquedosleiloesoficial.com/web/fotos/lotes_263_chevrolet-onix-18-19_parquedosleilao.com_zzdd4942e3f5.jpg,N/A,"R$: 18.400,00","R$: 16.200,00",https://parquedosleiloesoficial.com/lote/CHEVROLET-ONIX-18-19-/263/,N/A,00005,N/A,N/A,ARREMATADO,N/A,12,CHEVROLET ONIX 18/19,N/A,300
N/A,N/A,N/A,N/A,N/A,31/05/2025,04/06/2025,N/A,N/A,https://parquedosleiloesoficial.com/web/fotos/lotes_128_chevrolet-s10-ls-dd4-20-20_parquedosleilao.com_zz195b19b391.JPG,N/A,"R$: 68.500,00","R$: 63.500,00",https://parquedosleiloesoficial.com/lote/CHEVROLET-S10-LS-DD4-20-20-/128/,N/A,00005,N/A,N/A,ARREMATADO,N/A,26,CHEVROLET S10 LS DD4 20/20,N/A,603
N/A,N/A,N/A,N/A,N/A,05/06/2025,09/06/2025,N/A,N/A,https://parquedosleiloesoficial.com/web/fotos/lotes_67_fiat-uno-12-12_parquedosleilao.com_zza2ccc916ab.jpg,N/A,"R$: 11.600,00","R$: 7.800,00",https://parquedosleiloesoficial.com/lote/FIAT-UNO-12-12--/67/,N/A,00005,N/A,N/A,ARREMATADO,N/A,20,FIAT UNO 12/12,N/A,830
N/A,N/A,N/A,N/A,N/A,06/06/2025,10/06/2025,N/A,N/A,https://parquedosleiloesoficial.com/web/fotos/lotes_323_honda-civic-1-8-12-13_parquedosleilao.com_zz55fbcaf6ab.jpg,N/A,"R$: 0,00","R$: 21.600,00",https://parquedosleiloesoficial.com/lote/HONDA-CIVIC-1.8-12-13-/323/,N/A,00005,N/A,N/A,NÃO ARREMATADO,N/A,0,HONDA CIVIC 1.8 12/13,N/A,3
N/A,N/A,N/A,N/A,N/A,07/06/2025,11/06/2025,N/A,N/A,https://parquedosleiloesoficial.com/web/fotos/lotes_506_honda-fit-1-4-03-04_parquedosleilao.com_zz246ddf581f.jpg,N/A,"R$: 0,00","R$: 12.400,00",https://parquedosleiloesoficial.com/lote/HONDA-FIT-1.4-03-04-/506/,N/A,00005,N/A,N/A,NÃO ARREMATADO,N/A,0,HONDA FIT 1.4 03/04,N/A,2
N/A,N/A,N/A,N/A,N/A,02/06/2025,06/06/2025,N/A,N/A,https://parquedosleiloesoficial.com/web/fotos/lotes_642_hyundai-creta-1-0-21-22_parquedosleilao.com_zz45b50eb61c.JPG,N/A,"R$: 0,00","R$: 48.200,00",https://parquedosleiloesoficial.com/lote/HYUNDAI-CRETA-1.0-21-22-/642/,N/A,00005,N/A,N/A,NÃO ARREMATADO,N/A,0,HYUNDAI CRETA 1.0 21/22,N/A,7
2013,2012,Sim,GASOLINA,DA PARTIDA,17/06/2025,20/06/2025,"Marca: HYUNDAI
Modelo: TUCSON 
Versão: TUCSON GLSB
KM: 70.350
Ano de Fabricação: 2012
Ano Modelo: 2013
Chaves: Sim
Condição do Motor: DA PARTIDA 
Tabela FIPE R$ 46.137,00
Final da Placa: 6
Combustível: GASOLINA
Procedência: RECUPERADO DE FINANCIAMENTO",6,https://parquedosleiloesoficial.com/web/fotos/lotes_7_hyundai-tucson-12-13_parquedosleilao.com_zzca057c705e.JPG,70.350,"R$: 27.000,00","R$: 23.400,00",https://parquedosleiloesoficial.com/lote/HYUNDAI-TUCSON-12-13-/7/,N/A,00005,HYUNDAI,RECUPERADO DE FINANCIAMENTO,RECEBENDO LANCES,"46.137,00",19,HYUNDAI TUCSON 12/13,N/A,396
