titulo,link,imagem,km_veiculo,lance_inicial,valor_do_lance,data_leilao,marca_veiculo,final_da_placa_veiculo,ano_fabricacao_veiculo,ano_modelo_veiculo,chaves_veiculo,condicao_motor_veiculo,tabela_fipe_veiculo,combustivel_veiculo,procedencia_veiculo,total_lances,modelo_veiculo
HONDA FIT 1.4 03/04,https://parquedosleiloesoficial.com/lote/HONDA-FIT-1.4-03-04-/506/,https://parquedosleiloesoficial.com/web/fotos/lotes_506_honda-fit-1-4-03-04_parquedosleilao.com_zz246ddf581f.jpg,N/A,12400.00,16400.00,30/06/2025,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
HYUNDAI CRETA 1.0 21/22,https://parquedosleiloesoficial.com/lote/HYUNDAI-CRETA-1.0-21-22-/642/,https://parquedosleiloesoficial.com/web/fotos/lotes_642_hyundai-creta-1-0-21-22_parquedosleilao.com_zz45b50eb61c.JPG,N/A,48200.00,52000.00,25/06/2025,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
HYUNDAI TUCSON 12/13,https://parquedosleiloesoficial.com/lote/HYUNDAI-TUCSON-12-13-/7/,https://parquedosleiloesoficial.com/web/fotos/lotes_7_hyundai-tucson-12-13_parquedosleilao.com_zzca057c705e.JPG,N/A,23400.00,0.00,20/06/2025,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
JEEP COMPASS 18/18,https://parquedosleiloesoficial.com/lote/JEEP-COMPASS-18-18--/582/,https://parquedosleiloesoficial.com/web/fotos/lotes_582_jeep-compass-18-18_parquedosleilao.com_zz8efecc5a77.JPG,89.925,48500.00,51900.00,07/07/2025,JEEP,5,2018,2018,Sim,N/A,N/A,FLEX,RECUPERADO DE FINANCIAMENTO,N/A,2018
RENAULT CLIO 1.0 13/14,https://parquedosleiloesoficial.com/lote/RENAULT-CLIO-1.0-13-14-/451/,https://parquedosleiloesoficial.com/web/fotos/lotes_451_renault-clio-1-0-13-14_parquedosleilao.com_zz6817aecc48.JPG,N/A,14600.00,17200.00,24/06/2025,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
RENAULT DUSTER 1.6 15/16,https://parquedosleiloesoficial.com/lote/RENAULT-DUSTER-1.6-15-16-/383/,https://parquedosleiloesoficial.com/web/fotos/lotes_383_renault-duster-1-6-15-16_parquedosleilao.com_zz4aa499d651.JPG,N/A,30500.00,34100.00,03/07/2025,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
VOLKSWAGEN T-CROSS 1.0 20/20,https://parquedosleiloesoficial.com/lote/VOLKSWAGEN-T-CROSS-1.0-20-20-/719/,https://parquedosleiloesoficial.com/web/fotos/lotes_719_volkswagen-t-cross-1-0-20-20_parquedosleilao.com_zzec29591fd1.JPG,N/A,48400.00,50400.00,01/07/2025,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
CHEVROLET CLASSIC 1.0 15/15,https://parquedosleiloesoficial.com/lote/CHEVROLET-CLASSIC-1.0-15-15-/324/,https://parquedosleiloesoficial.com/web/fotos/lotes_324_chevrolet-classic-1-0-15-15_parquedosleilao.com_zz9b64a71311.jpg,N/A,8600.00,0.00,27/06/2025,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
CHEVROLET CRUZE 22/23,https://parquedosleiloesoficial.com/lote/CHEVROLET-CRUZE-22-23-/452/,https://parquedosleiloesoficial.com/web/fotos/lotes_452_chevrolet-cruze-22-23_parquedosleilao.com_zz08d4f77bbf.JPG,N/A,64300.00,68300.00,24/06/2025,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
FIAT SIENA 13/13,https://parquedosleiloesoficial.com/lote/FIAT-SIENA-13-13-/68/,https://parquedosleiloesoficial.com/web/fotos/lotes_68_fiat-siena-13-13_parquedosleilao.com_zzd3c4ea89af.jpg,N/A,9300.00,0.00,26/06/2025,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
HONDA CIVIC 2.0 20/20,https://parquedosleiloesoficial.com/lote/HONDA-CIVIC-2.0-20-20-/720/,https://parquedosleiloesoficial.com/web/fotos/lotes_720_honda-civic-2-0-20-20_parquedosleilao.com_zzd98f9fcfd2.JPG,N/A,59300.00,61700.00,01/07/2025,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
HONDA FIT 1.5 15/16,https://parquedosleiloesoficial.com/lote/HONDA-FIT-1.5-15-16-/643/,https://parquedosleiloesoficial.com/web/fotos/lotes_643_honda-fit-1-5-15-16_parquedosleilao.com_zz5d00a24ef4.JPG,N/A,22600.00,26400.00,25/06/2025,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
HYUNDAI CRETA 1.0 24/25,https://parquedosleiloesoficial.com/lote/HYUNDAI-CRETA-1.0-24-25-/583/,https://parquedosleiloesoficial.com/web/fotos/lotes_583_hyundai-creta-1-0-24-25_parquedosleilao.com_zz9dbe78dc88.JPG,5.781,65500.00,68900.00,07/07/2025,HYUNDAI,1,2018,2018,Sim,N/A,N/A,FLEX,RECUPERADO DE FINANCIAMENTO,N/A,2018
RENAULT KWID 23/24,https://parquedosleiloesoficial.com/lote/RENAULT-KWID-23-24-/264/,https://parquedosleiloesoficial.com/web/fotos/lotes_264_renault-kwid-23-24_parquedosleilao.com_zze5930aa045.jpg,N/A,20600.00,23000.00,02/07/2025,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
TOYOTA ETIOS 1.3 16/17,https://parquedosleiloesoficial.com/lote/TOYOTA-ETIOS-1.3-16-17-/384/,https://parquedosleiloesoficial.com/web/fotos/lotes_384_toyota-etios-1-3-16-17_parquedosleilao.com_zz78e9233415.JPG,N/A,24700.00,28900.00,03/07/2025,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
VOLKSWAGEN SAVEIRO 1.6 13/14,https://parquedosleiloesoficial.com/lote/VOLKSWAGEN-SAVEIRO-1.6-13-14-/507/,https://parquedosleiloesoficial.com/web/fotos/lotes_507_volkswagen-saveiro-1-6-13-14_parquedosleilao.com_zz10b7353d21.jpg,N/A,24700.00,29700.00,30/06/2025,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
VOLKSWAGEN T-CROSS 19/20,https://parquedosleiloesoficial.com/lote/VOLKSWAGEN-T-CROSS-19-20-/129/,https://parquedosleiloesoficial.com/web/fotos/lotes_129_volkswagen-t-cross-19-20_parquedosleilao.com_zze31d8dcbae.jpg,N/A,48700.00,54700.00,23/06/2025,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
VOLKSWAGEN VOYAGE 1.0 13/14,https://parquedosleiloesoficial.com/lote/VOLKSWAGEN-VOYAGE-1.0-13-14-/8/,https://parquedosleiloesoficial.com/web/fotos/lotes_8_volkswagen-voyage-1-0-13-14_parquedosleilao.com_zz7d15aeeb56.JPG,N/A,18300.00,0.00,20/06/2025,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
